,Open,High,Low,Close,Volume,Daily Change %,Volatility
2026-01-02,984.75,1009.3,984.05,999.35,489973,1.4826097994414849,2.564102564102564
2026-01-05,1000.1,1015.4,1000.1,1005.35,574850,0.5249475052494751,1.5298470152984656
2026-01-06,1008.9,1023.95,1005.0,1018.75,696022,0.9763108335811301,1.8782832788185198
2026-01-07,1020.05,1022.0,1004.3,1007.1,522691,-1.2695456105092822,1.7352090583794957
2026-01-08,1005.15,1011.9,995.6,997.85,717133,-0.726259762224539,1.6216485101726064
2026-01-09,996.95,1008.0,994.55,1000.0,508305,0.3059330959426204,1.3491148001404327
2026-01-12,1005.45,1016.9,996.05,1015.05,206672,0.954796359838869,2.0736983440250656
2026-01-13,1019.4,1029.4,1015.7,1028.45,3578570,0.8877771237983195,1.3439278006670636
2026-01-14,1028.5,1030.0,1021.0,1028.3,549159,-0.01944579484686879,0.8750607681088965
2026-01-16,1029.1,1047.5,1028.45,1042.3,536890,1.282674181323491,1.8511320571373002
2026-01-19,1036.0,1043.55,1033.65,1038.2,270858,0.21235521235521676,0.9555984555984424
2026-01-20,1044.8,1051.9,1033.3,1037.15,269961,-0.732197549770278,1.7802450229709166
2026-01-21,1030.85,1040.45,1021.8,1028.15,546284,-0.26191977494299057,1.8091865935878249
2026-01-22,1032.35,1055.35,1032.35,1048.25,762610,1.540175328134847,2.2279265752893886
2026-01-23,1053.9,1053.9,1025.55,1029.4,453196,-2.3246987380206847,2.690008539709663
2026-01-27,1034.9,1054.55,1030.0,1052.9,814550,1.7392984829452118,2.3722098753502707
2026-01-28,1055.2,1065.4,1044.1,1062.8,816186,0.7202426080363825,2.018574677786219
2026-01-29,1063.8,1075.0,1060.0,1064.5,1248846,0.06580184245159293,1.410039481105471
2026-01-30,1064.45,1082.4,1060.5,1077.55,392217,1.2306825120954399,2.0574005354878193
2026-02-02,1020.05,1031.55,990.0,1028.45,406280,0.8234890446546828,4.073329738738293
2026-02-03,1085.65,1090.0,1040.9,1064.25,419714,-1.9711693455533634,4.522636208722876
2026-02-04,1058.15,1073.8,1055.9,1068.1,365016,0.9403203704578573,1.6916316212257112
2026-02-05,1068.1,1081.3,1067.4,1073.4,1205425,0.49620822020411787,1.3013762756296101
2026-02-06,1071.0,1073.6,1051.0,1066.4,225015,-0.42950513538747986,2.110177404295043
